name,profile,url,bias,factual,credibility
Gay Times – Bias and Credibility,https://mediabiasfactcheck.com/gay-times-bias/,www.gaytimes.co.uk,left,high,high credibility
Fulton County Expositor – Bias and Credibility,https://mediabiasfactcheck.com/fulton-county-expositor-bias/,www.fcnews.org,right-center,high,high credibility
Guardian Liberty Voice – Bias and Credibility,https://mediabiasfactcheck.com/guardian-liberty-voice/,www.guardianlv.com,left,mostly,high credibility
Greenfield Daily Reporter – Bias and Credibility,https://mediabiasfactcheck.com/greenfield-daily-reporter-bias/,www.greenfieldreporter.com,right-center,high,high credibility
Halifax Chronicle Herald – Bias and Credibility,https://mediabiasfactcheck.com/halifax-chronicle-herald-bias/,www.saltwire.com,right-center,high,high credibility
International Viewpoint – Bias and Credibility,https://mediabiasfactcheck.com/international-viewpoint/,www.internationalviewpoint.org,left,mixed,low credibility
Herald-Sun (Australia) – Bias and Credibility,https://mediabiasfactcheck.com/herald-sun/,www.heraldsun.com.au,right-center,mostly,high credibility
Jacobin – Bias and Credibility,https://mediabiasfactcheck.com/jacobin/,www.jacobin.com,left,high,high credibility
Hillsboro Times-Gazette – Bias and Credibility,https://mediabiasfactcheck.com/hillsboro-times-gazette-bias/,www.timesgazette.com,right-center,high,high credibility
Huntington Herald-Press – Bias and Credibility,https://mediabiasfactcheck.com/huntington-herald-press-bias/,www.h-ponline.com,right-center,high,high credibility
Huntsville Times – Bias and Credibility,https://mediabiasfactcheck.com/huntsville-times-bias/,www.al.com,right-center,high,high credibility
Le Monde Diplomatique – Bias and Credibility,https://mediabiasfactcheck.com/le-monde-diplomatique-bias/,www.monde-diplomatique.fr,left,high,high credibility
LGBTQ Nation – Bias and Credibility,https://mediabiasfactcheck.com/lgbtq-nation/,www.lgbtqnation.com,left,mostly,medium credibility
Little Green Footballs – Bias and Credibility,https://mediabiasfactcheck.com/little-green-footballs/,www.littlegreenfootballs.com,left,high,high credibility
InsideSources – Bias and Credibility,https://mediabiasfactcheck.com/insidesources/,www.insidesources.com,right-center,mostly,medium credibility
Irish Independent – Bias and Credibility,https://mediabiasfactcheck.com/irish-independent/,www.independent.ie,right-center,mostly,no credibility rating available
Mediaite – Bias and Credibility,https://mediabiasfactcheck.com/mediaite/,www.mediaite.com,left,mostly_factual,high credibility
Merry Jane – Bias and Credibility,https://mediabiasfactcheck.com/merry-jane/,www.merryjane.com,left,mixed, credibility
Michigan Advance – Bias and Credibility,https://mediabiasfactcheck.com/michigan-advance-bias/,www.michiganadvance.com,left,high,high credibility
Just Facts – Bias and Credibility,https://mediabiasfactcheck.com/just-facts/,www.justfacts.com,right-center,mostly,high credibility
KAAS – Wichita News – Bias and Credibility,https://mediabiasfactcheck.com/kaas-wichita-news-bias/,www.foxkansas.com,right-center,high,high credibility
Act.TV – Bias and Credibility,https://mediabiasfactcheck.com/act-tv/,www.act.tv,left,mostly,medium credibility
OpEdNews (OEN) – Bias and Credibility,https://mediabiasfactcheck.com/opednews-oen/,www.opednews.com,left,mixed,medium credibility
Bemidji Pioneer – Bias and Credibility,https://mediabiasfactcheck.com/bemidji-pioneer-bias/,www.bemidjipioneer.com,right-center,high,high credibility
The Bill of Rights Institute – Bias and Credibility,https://mediabiasfactcheck.com/the-bill-of-rights-institute-bias/,www.billofrightsinstitute.org,right-center,high,high credibility
AmericaBlog – Bias and Credibility,https://mediabiasfactcheck.com/americablog/,www.americablog.com,left,high,high credibility
Bow Valley Crag & Canyon – Bias and Credibility,https://mediabiasfactcheck.com/bow-valley-crag-canyon-bias/,www.thecragandcanyon.ca,right-center,high,high credibility
Arkansas Advocate – Bias and Credibility,https://mediabiasfactcheck.com/arkansas-advocate-bias/,www.arkansasadvocate.com,left,high,high credibility
AutoStraddle – Bias and Credibility,https://mediabiasfactcheck.com/autostraddle/,www.autostraddle.com,left,high,high credibility
Calgary Herald – Bias and Credibility,https://mediabiasfactcheck.com/calgary-herald/,www.calgaryherald.com,right-center,high,no credibility rating available
BNC – Black News Channel – Bias and Credibility,https://mediabiasfactcheck.com/bnc-black-news-channel-bias/,www.bnc.tv,left,mostly,medium credibility
Cato Institute – Bias and Credibility,https://mediabiasfactcheck.com/cato-institute/,www.cato.org,right-center,high,high credibility
Canada Fact Check – Bias and Credibility,https://mediabiasfactcheck.com/canada-fact-check/,www.canadafactcheck.ca,left,mostly,medium credibility
Claiborne Progress – Bias and Credibility,https://mediabiasfactcheck.com/claiborne-progress-bias/,www.claiborneprogress.net,right-center,high,high credibility
Change.org – Bias and Credibility,https://mediabiasfactcheck.com/change-org/,www.change.org,left,mixed,medium credibility
China Internet Information Center – Bias and Credibility,https://mediabiasfactcheck.com/china-internet-information-center/,www.china.org.cn,left,mixed,medium credibility
CNN – Bias and Credibility,https://mediabiasfactcheck.com/cnn/,www.cnn.com,left,mostly,high credibility
Color of Change – Bias and Credibility,https://mediabiasfactcheck.com/color-of-change-bias/,www.colorofchange.org,left,mostly,medium credibility
Delaware Gazette – Bias and Credibility,https://mediabiasfactcheck.com/delaware-gazette-bias/,www.delgazette.com,right-center,high,high credibility
Deutschland.de – Bias and Credibility,https://mediabiasfactcheck.com/deutschland-de/,www.deutschland.de,right-center,mostly,high credibility
Downsizing the Federal Government – Bias and Credibility,https://mediabiasfactcheck.com/downsizing-the-federal-government/,www.downsizinggovernment.org,right-center,high,high credibility
Ecuavisa – Bias and Credibility,https://mediabiasfactcheck.com/ecuavisa/,www.ecuavisa.com,right-center,mixed,medium credibility
Democracy Chronicles – Bias and Credibility,https://mediabiasfactcheck.com/democracy-chronicles/,www.democracychronicles.org,left,mostly,medium credibility
Detroit Metro Times – Bias and Credibility,https://mediabiasfactcheck.com/detroit-metro-times/,www.metrotimes.com,left,high,high credibility
FDD’s Long War Journal – Bias and Credibility,https://mediabiasfactcheck.com/fdds-long-war-journal/,www.longwarjournal.org,right-center,high,high credibility
Fitch Ratings – Bias and Credibility,https://mediabiasfactcheck.com/fitch-ratings/,www.fitchratings.com,right-center,high,high credibility
Fort McMurray Today – Bias and Credibility,https://mediabiasfactcheck.com/fort-mcmurray-today-bias/,www.fortmcmurraytoday.com,right-center,high,high credibility
Foundation for Economic Education,https://mediabiasfactcheck.com/foundation-for-economic-education/,www.fee.org,right-center,mostly,high credibility
Frankfurter Allgemeine Zeitung (FAZ) – Bias and Credibility,https://mediabiasfactcheck.com/frankfurter-allgemeine-zeitung-faz/,www.faz.net,right-center,high,high credibility
Gizmodo – Bias and Credibility,https://mediabiasfactcheck.com/gizmodo/,www.gizmodo.com,left,high,high credibility
GEO TV (Pakistan) – Bias and Credibility,https://mediabiasfactcheck.com/geo-tv-pakistan/,www.geo.tv,right-center,mixed,medium credibility
Grand Rapids Press – Bias and Credibility,https://mediabiasfactcheck.com/grand-rapids-press/,www.mlive.com,right-center,high,high credibility
Idaho Capital Sun – Bias and Credibility,https://mediabiasfactcheck.com/idaho-capital-sun-bias/,www.idahocapitalsun.com,left,high,high credibility
Hanna Herald – Bias and Credibility,https://mediabiasfactcheck.com/hanna-herald-bias/,www.hannaherald.com,right-center,high,high credibility
Intrepid Report – Bias and Credibility,https://mediabiasfactcheck.com/intrepid-report/,www.intrepidreport.com,left,mixed,medium credibility
Jezebel – Bias and Credibility,https://mediabiasfactcheck.com/jezebel/,www.jezebel.com,left,high,high credibility
Knock-LA – Bias and Credibility,https://mediabiasfactcheck.com/knock-la-bias/,www.knock-la.com,left,mostly,medium credibility
India.com – Bias and Credibility,https://mediabiasfactcheck.com/india-com/,www.india.com,right-center,mostly,high credibility
Louisiana Illuminator – Bias and Credibility,https://mediabiasfactcheck.com/lousiana-illuminator-bias/,www.lailluminator.com,left,high,high credibility
Media Matters – Bias and Credibility,https://mediabiasfactcheck.com/media-matters/,www.mediamatters.org,left,high,high credibility
Miami New Times – Bias and Credibility,https://mediabiasfactcheck.com/miami-new-times-2/,www.miaminewtimes.com,left,high,high credibility
Jewish Unpacked – Bias and Credibility,https://mediabiasfactcheck.com/jewish-unpacked-bias/,www.jewishunpacked.com,right-center,high,high credibility
Minnesota Reformer – Bias and Credibility,https://mediabiasfactcheck.com/minnesota-reformer-bias/,www.minnesotareformer.com,left,high,high credibility
Modern Liberals – Bias and Credibility,https://mediabiasfactcheck.com/modern-liberals/,www.modernliberals.com,left,mixed,no credibility rating available
Kalamazoo News – WWMT – Bias and Credibility,https://mediabiasfactcheck.com/kalamazoo-news-wwmt/,www.wwmt.com,right-center,high,high credibility
National Association for the Advancement of Colored People (NAACP) – Bias and Credibility,https://mediabiasfactcheck.com/national-association-advancement-colored-people-naacp/,www.naacp.org,left,high,no credibility rating available
Nebraska Examiner – Bias and Credibility,https://mediabiasfactcheck.com/nebraska-examiner-bias/,www.nebraskaexaminer.com,left,high,high credibility
New Internationalist – Bias and Credibility,https://mediabiasfactcheck.com/new-internationalist/,www.newint.org,left,high,high credibility
Ms. (Magazine) – Bias and Credibility,https://mediabiasfactcheck.com/ms-magazine/,www.msmagazine.com,left,high,high credibility
Action Network – Bias and Credibility,https://mediabiasfactcheck.com/action-network-bias/,www.actionnetwork.org,left,mostly,high credibility
Al DIA – Bias and Credibility,https://mediabiasfactcheck.com/al-dia/,www.aldianews.com,left,mixed,medium credibility
BoomLive – Bias and Credibility,https://mediabiasfactcheck.com/boomlive-bias/,www.boomlive.in,right-center,high,high credibility
Angry White Men – Bias and Credibility,https://mediabiasfactcheck.com/angry-white-men/,www.angrywhitemen.org,left,mixed,medium credibility
Brewton Standard – Bias and Credibility,https://mediabiasfactcheck.com/brewton-standard-bias/,www.brewtonstandard.com,right-center,high,high credibility
Being Liberal – Bias and Credibility,https://mediabiasfactcheck.com/being-liberal/,www.beingliberal.org,left,mixed,medium credibility
Black America Web – Bias and Credibility,https://mediabiasfactcheck.com/black-america-web/,www.blackamericaweb.com,left,mostly,medium credibility
Cape Breton Post – Bias and Credibility,https://mediabiasfactcheck.com/cape-breton-post-bias/,www.saltwire.com,right-center,high,high credibility
Center for European Policy Analysis (CEPA) – Bias and Credibility,https://mediabiasfactcheck.com/center-for-european-policy-analysis-bias/,www.cepa.org,right-center,high,high credibility
Canadian Anti-Hate Network – Bias and Credibility,https://mediabiasfactcheck.com/canadian-anti-hate-network-bias/,www.antihate.ca,left,high,high credibility
Clanton Advertiser – Bias and Credibility,https://mediabiasfactcheck.com/clanton-advertiser-bias/,www.clantonadvertiser.com,right-center,high,high credibility
Colchester Wire – Bias and Credibility,https://mediabiasfactcheck.com/colchester-wire-bias/,www.saltwire.com,right-center,high,high credibility
Cordele Dispatch – Bias and Credibility,https://mediabiasfactcheck.com/cordele-dispatch-bias/,www.cordeledispatch.com,right-center,high,high credibility
Daily Press – Bias and Credibility,https://mediabiasfactcheck.com/daily-press/,www.dailypress.com,right-center,high,high credibility
Common Dreams – Bias and Credibility,https://mediabiasfactcheck.com/common-dreams/,www.commondreams.org,left,high,high credibility
Denver Gazette – Bias and Credibility,https://mediabiasfactcheck.com/denver-gazette/,www.denvergazette.com,right-center,high,high credibility
Crikey – Bias and Credibility,https://mediabiasfactcheck.com/crikey/,www.crikey.com.au,left,high,high credibility
Crooks and Liars – Bias and Credibility,https://mediabiasfactcheck.com/crooks-and-liars/,www.crooksandliars.com,left,mostly,high credibility
Drudge Report – Bias and Credibility,https://mediabiasfactcheck.com/drudge-report/,www.drudgereport.com,right-center,mixed,medium credibility
Eddyville Herald Ledger – Bias and Credibility,https://mediabiasfactcheck.com/eddyville-herald-ledger-bias/,www.heraldledger.com,right-center,high,high credibility
Democracy Now – Bias and Credibility,https://mediabiasfactcheck.com/democracy-now/,www.democracynow.org,left,high,high credibility
Expressen – Bias and Credibility,https://mediabiasfactcheck.com/expressen/,www.expressen.se,right-center,mostly,high credibility
Faith Family America – Bias and Credibility,https://mediabiasfactcheck.com/faith-family-america/,www.faithfamilyamerica.com,right-center,mixed,medium credibility
ELLE Magazine – Bias and Credibility,https://mediabiasfactcheck.com/elle-magazine/,www.elle.com,left,mostly,no credibility rating available
Forest City Daily Courier – Bias and Credibility,https://mediabiasfactcheck.com/forest-city-daily-courier-bias/,www.thedigitalcourier.com,right-center,high,high credibility
FreePress.org – Bias and Credibility,https://mediabiasfactcheck.com/free-press-2/,www.freepress.org,left,mostly,medium credibility
Gawker – Bias and Credibility,https://mediabiasfactcheck.com/gawker-bias/,www.gawker.com,left,mostly,medium credibility
Georgia Recorder – Bias and Credibility,https://mediabiasfactcheck.com/georgia-recorder-bias/,www.georgiarecorder.com,left,high,high credibility
Good Magazine – Bias and Credibility,https://mediabiasfactcheck.com/good-magazine/,www.good.is,left,high,high credibility
Göteborgs-Posten – Bias and Credibility,https://mediabiasfactcheck.com/goteborgs-posten/,www.gp.se,right-center,mostly,high credibility
Hill Reporter – Bias and Credibility,https://mediabiasfactcheck.com/hill-reporter/,www.hillreporter.com,left,high,high credibility
In These Times – Bias and Credibility,https://mediabiasfactcheck.com/in-these-times/,www.inthesetimes.com,left,mostly,medium credibility
Heber Springs Sun-Times – Bias and Credibility,https://mediabiasfactcheck.com/heber-springs-sun-times-bias/,www.thesuntimes.com,right-center,high,high credibility
High Point Enterprise – Bias and Credibility,https://mediabiasfactcheck.com/high-point-enterprise/,www.hpenews.com,right-center,high,high credibility
Hoover Institution – Bias and Credibility,https://mediabiasfactcheck.com/hoover-institution/,www.hoover.org,right-center,high,high credibility
Idaho State Journal – Bias and Credibility,https://mediabiasfactcheck.com/idaho-state-journal/,www.idahostatejournal.com,right-center,high,high credibility
LEO Weekly – Louisville – Bias and Credibility,https://mediabiasfactcheck.com/leo-weekly-louisville-bias/,www.leoweekly.com,left,high,high credibility
India TV – Bias and Credibility,https://mediabiasfactcheck.com/india-tv/,www.indiatvnews.com,right-center,mostly,high credibility
Investor Times – Bias and Credibility,https://mediabiasfactcheck.com/investor-times-bias/,www.investortimes.com,right-center,mostly,medium credibility
MeidasTouch – Bias and Credibility,https://mediabiasfactcheck.com/meidastouch/,www.meidastouch.com,left,mixed,medium credibility
Middletown Media (Muncie Voice) – Bias and Credibility,https://mediabiasfactcheck.com/muncie-voice/,www.muncievoice.com,left,mixed,medium credibility
Monthly Review – Bias and Credibility,https://mediabiasfactcheck.com/monthly-review/,www.monthlyreview.org,left,high,high credibility
Nation of Change – Bias and Credibility,https://mediabiasfactcheck.com/nation-of-change/,www.nationofchange.org,left,mostly,high credibility
Natural Resources Defense Council (NRDC) – Bias and Credibility,https://mediabiasfactcheck.com/natural-resources-defense-council/,www.nrdc.org,left,mostly,high credibility
KBTV – Beaumont News – Bias and Credibility,https://mediabiasfactcheck.com/kbtv-beaumont-news-bias/,www.fox4beaumont.com,right-center,high,high credibility
New Jersey Monitor – Bias and Credibility,https://mediabiasfactcheck.com/new-jersey-monitor-bias/,www.newjerseymonitor.com,left,high,high credibility
Berlingske – Bias and Credibility,https://mediabiasfactcheck.com/berlingske/,www.berlingske.dk,right-center,mostly,high credibility
Bild – Bias and Credibility,https://mediabiasfactcheck.com/bild/,www.bild.de,right-center,mixed,medium credibility
Aftonbladet – Bias and Credibility,https://mediabiasfactcheck.com/aftonbladet/,www.aftonbladet.se,left,mixed,medium credibility
Billings Gazette – Bias and Credibility,https://mediabiasfactcheck.com/billings-gazette/,www.billingsgazette.com,right-center,high,high credibility
Alaska Beacon – Bias and Credibility,https://mediabiasfactcheck.com/alaska-beacon-bias/,www.alaskabeacon.com,left,high,high credibility
KOMO 4 News – Bias and Credibility,https://mediabiasfactcheck.com/komo-4-news/,www.komonews.com,right-center,high,high credibility
Bipartisan Policy Center – Bias and Credibility,https://mediabiasfactcheck.com/bipartisan-policy-center/,www.bipartisanpolicy.org,right-center,mostly,high credibility
American Bridge 21st Century – Bias and Credibility,https://mediabiasfactcheck.com/american-bridge-21st-century/,www.americanbridgepac.org,left,mixed,medium credibility
Brainerd Dispatch – Bias and Credibility,https://mediabiasfactcheck.com/brainerd-dispatch-bias/,www.brainerddispatch.com,right-center,high,high credibility
Alliance for Justice (AFJ) – Bias and Credibility,https://mediabiasfactcheck.com/alliance-for-justice-afj/,www.afj.org,left,high,high credibility
Boston Herald – Bias and Credibility,https://mediabiasfactcheck.com/boston-herald/,www.bostonherald.com,right-center,high,high credibility
Attack The System – Bias and Credibility,https://mediabiasfactcheck.com/attack-the-system/,www.attackthesystem.com,left,mixed,medium credibility
BillMoyers.com – Bias and Credibility,https://mediabiasfactcheck.com/billmoyers-com/,www.billmoyers.com,left,mostly,medium credibility
Black Lives Matter – Bias and Credibility,https://mediabiasfactcheck.com/black-lives-matter/,www.blacklivesmatter.com,left,mixed,medium credibility
Canadian Jewish News (CJN) – Bias and Credibility,https://mediabiasfactcheck.com/canadian-jewish-news-cjn/,www.thecjn.ca,right-center,high,high credibility
Capitalism Magazine – Bias and Credibility,https://mediabiasfactcheck.com/capitalism-magazine/,www.capitalismmagazine.com,right-center,mostly,high credibility
Bust Magazine – Bias and Credibility,https://mediabiasfactcheck.com/bust-magazine/,www.bust.com,left,mostly,medium credibility
Capital & Main – Bias and Credibility,https://mediabiasfactcheck.com/capital-main/,www.capitalandmain.com,left,high,high credibility
Center for American Progress – Bias and Credibility,https://mediabiasfactcheck.com/center-for-american-progress/,www.americanprogress.org,left,mixed,medium credibility
PINAC – Bias and Credibility,https://mediabiasfactcheck.com/pinac/,www.pinacnews.com,left,high,high credibility
Alt News – Bias and Credibility,https://mediabiasfactcheck.com/alt-news/,www.altnews.in,left,high,high credibility
American Oversight – Bias and Credibility,https://mediabiasfactcheck.com/american-oversight/,www.americanoversight.org,left,mostly,medium credibility
Bryan Times – Bias and Credibility,https://mediabiasfactcheck.com/bryan-times-bias/,www.bryantimes.com,right-center,high,high credibility
BusinessLIVE – Bias and Credibility,https://mediabiasfactcheck.com/businesslive/,www.businesslive.co.za,right-center,mixed,medium credibility
Campbellton Tribune – Bias and Credibility,https://mediabiasfactcheck.com/cambellton-tribune-bias/,www.tj.news,right-center,high,high credibility
Boston Review – Bias and Credibility,https://mediabiasfactcheck.com/boston-review/,www.bostonreview.net,left,high,high credibility
Center for the National Interest – Bias and Credibility,https://mediabiasfactcheck.com/center-for-the-national-interest/,www.cftni.org,right-center,mostly,medium credibility
Canadian Dimension – Bias and Credibility,https://mediabiasfactcheck.com/canadian-dimension/,www.canadiandimension.com,left,mostly,medium credibility
Center for Biological Diversity – Bias and Credibility,https://mediabiasfactcheck.com/center-for-biological-diversity-bias/,www.biologicaldiversity.org,left,high,high credibility
Center for a Stateless Society – Bias and Credibility,https://mediabiasfactcheck.com/center-for-a-stateless-society/,www.c4ss.org,left,mostly,medium credibility
Cold Lake Sun – Bias and Credibility,https://mediabiasfactcheck.com/cold-lake-sun-bias/,www.coldlakesun.com,right-center,high,high credibility
Connersville News Examiner – Bias and Credibility,https://mediabiasfactcheck.com/connersville-news-examiner/,www.newsexaminer.com,right-center,high,high credibility
Daily Corinthian – Bias and Credibility,https://mediabiasfactcheck.com/daily-corinthian-bias/,www.heraldpalladium.com,right-center,high,high credibility
de Volkskrant – Bias and Credibility,https://mediabiasfactcheck.com/de-volkskrant/,www.volkskrant.nl,right-center,high,high credibility
CounterFire – Bias and Credibility,https://mediabiasfactcheck.com/counterfire-bias/,www.counterfire.org,left,mostly,medium credibility
Curve Magazine – Bias and Credibility,https://mediabiasfactcheck.com/curve-magazine/,www.curvemag.com,left,high,high credibility
DV Journal – Bias and Credibility,https://mediabiasfactcheck.com/dv-journal-bias/,www.delawarevalleyjournal.com,right-center,mostly,medium credibility
Deadspin – Bias and Credibility,https://mediabiasfactcheck.com/deadspin/,www.deadspin.com,left,high,high credibility
Democratic Underground – Bias and Credibility,https://mediabiasfactcheck.com/democratic-underground/,www.democraticunderground.com,left,mixed,medium credibility
Earth First Journal – Bias and Credibility,https://mediabiasfactcheck.com/earth-first-journal/,www.earthfirstjournal.news,left,mixed,medium credibility
Farmington Daily Times – Bias and Credibility,https://mediabiasfactcheck.com/farmington-daily-times-bias/,www.daily-times.com,right-center,high,high credibility
First Post – Bias and Credibility,https://mediabiasfactcheck.com/first-post/,www.firstpost.com,right-center,mostly,high credibility
Forbes – Bias and Credibility,https://mediabiasfactcheck.com/forbes/,www.forbes.com,right-center,mostly,high credibility
Fort Saskatchewan Record – Bias and Credibility,https://mediabiasfactcheck.com/fort-saskatchewan-record-bias/,www.fortsaskatchewanrecord.com,right-center,high,high credibility
Fox Business – Bias and Credibility,https://mediabiasfactcheck.com/fox-business/,www.foxbusiness.com,right-center,mostly,high credibility
Geopolitics Alert – Bias and Credibility,https://mediabiasfactcheck.com/geopolitics-alert/,www.geopoliticsalert.com,left,mixed,medium credibility
Freedom House – Bias and Credibility,https://mediabiasfactcheck.com/freedom-house/,www.freedomhouse.org,right-center,high,high credibility
Green Left Weekly – Bias and Credibility,https://mediabiasfactcheck.com/green-left-weekly/,www.greenleft.org.au,left,mixed,medium credibility
High Times – Bias and Credibility,https://mediabiasfactcheck.com/high-times-bias/,www.hightimes.com,left,mixed,medium credibility
BizNews – Bias and Credibility,https://mediabiasfactcheck.com/biznews-bias/,www.biznews.com,right-center,mixed,medium credibility
Bowling Green Daily News – Bias and Credibility,https://mediabiasfactcheck.com/bowling-green-daily-news/,www.bgdailynews.com,right-center,high,high credibility
AT Advocacy – Bias and Credibility,https://mediabiasfactcheck.com/at-advocacy-bias-and-credibility/,www.atadvocacy.com,left,mostly,medium credibility
Bitch Media – Bias and Credibility,https://mediabiasfactcheck.com/bitch-media/,www.bitchmedia.org,left,high,high credibility
Campaign for Liberty – Bias and Credibility,https://mediabiasfactcheck.com/campaign-for-liberty/,www.campaignforliberty.org,right-center,mixed,medium credibility
Brit + Co – Bias and Credibility,https://mediabiasfactcheck.com/brit-co-bias-and-credibility/,www.brit.co,left,mostly,medium credibility
Chatham-Kent This Week – Bias and Credibility,https://mediabiasfactcheck.com/chatham-kent-this-week-bias/,www.chathamthisweek.com,right-center,high,high credibility
Care2 – Bias and Credibility,https://mediabiasfactcheck.com/care2/,www.care2.com,left,mixed,medium credibility
Cochrane Times-Post – Bias and Credibility,https://mediabiasfactcheck.com/cochrane-times-post-bias-and-credibility/,www.cochranetimespost.ca,right-center,high,high credibility
Cincinnati CityBeat – Bias and Credibility,https://mediabiasfactcheck.com/cincinnati-citybeat-bias/,www.citybeat.com,left,high,high credibility
Dagens Nyheter – Bias and Credibility,https://mediabiasfactcheck.com/dagens-nyheter-bias/,www.dn.se,right-center,high,high credibility
Commune Magazine – Bias and Credibility,https://mediabiasfactcheck.com/commune-magazine/,www.communemag.com,left,mixed,medium credibility
Deseret News – Bias and Credibility,https://mediabiasfactcheck.com/deseret-news/,www.deseret.com,right-center,high,high credibility
Current Affairs Magazine – Bias and Credibility,https://mediabiasfactcheck.com/current-affairs-magazine/,www.currentaffairs.org,left,high,high credibility
Daily Montanan – Bias and Credibility,https://mediabiasfactcheck.com/daily-montanan-bias/,www.dailymontanan.com,left,high,high credibility
DeadState – Bias and Credibility,https://mediabiasfactcheck.com/dead-state/,www.deadstate.org,left,high,high credibility
El Mundo – Bias and Credibility,https://mediabiasfactcheck.com/el-mundo/,www.elmundo.es,right-center,mostly,high credibility
Fairborn Daily Herald – Bias and Credibility,https://mediabiasfactcheck.com/fairborn-daily-herald-bias/,www.fairborndailyherald.com,right-center,high,high credibility
Firearms News – Bias and Credibility,https://mediabiasfactcheck.com/firearms-news/,www.firearmsnews.com,right-center,mostly,high credibility
Finnish News – Bias and Credibility,https://mediabiasfactcheck.com/finnish-news/,www.finnishnews.fi,left,mostly,high credibility
Fortnightly Review – Bias and Credibility,https://mediabiasfactcheck.com/fortnightly-review/,fortnightlyreview.co.uk,right-center,high,high credibility
Gay City News – Bias and Credibility,https://mediabiasfactcheck.com/gay-city-news-bias/,www.gaycitynews.com,left,high,high credibility
Fredericton Daily Gleaner – Bias and Credibility,https://mediabiasfactcheck.com/fredericton-daily-gleaner-bias/,www.tj.news,right-center,high,high credibility
Galveston County Daily News – Bias and Credibility,https://mediabiasfactcheck.com/galveston-county-daily-news-bias/,www.galvnews.com,right-center,high,high credibility
Harvard International Review – Bias and Credibility,https://mediabiasfactcheck.com/harvard-international-review-bias/,hir.harvard.edu,left,high,high credibility
